"sn","hour_utc","pm25","pm25_cal","pm10","pm1","o3","o3_cal","co","no2","rh","temp","n_obs","pm_status","hour_complete"
"MOD-00556","2026-08-02 18:00:00",5.104,3.09550115,8.67183333333333,4.37166666666667,51.6678333333333,0.039858008,109.038166666667,5.99016666666667,18.525,47.0116666666667,60,"ok",TRUE
"MOD-00556","2026-08-02 19:00:00",4.64266666666667,2.5925865,7.84633333333333,4.0275,51.2413333333333,0.039489512,174.706,5.61183333333333,17.0166666666667,47.6733333333334,60,"ok",TRUE
"MOD-00556","2026-08-02 20:00:00",4.68,2.59545791525424,12.1567796610169,4.0171186440678,51.721186440678,0.0399041050847457,221.625423728814,7.1728813559322,16.0949152542373,48.3338983050847,59,"ok",TRUE
"MOD-00556","2026-08-02 21:00:00",3.997,2.00596953333334,6.97933333333333,3.48066666666667,50.9201666666667,0.039212024,229.988333333333,7.64933333333333,14.2183333333333,48.215,60,"ok",TRUE
"MOD-00556","2026-08-02 22:00:00",4.0295,1.97632048333334,6.568,3.53233333333333,52.5555,0.040624952,253.876333333333,10.2225,13.255,48.7883333333333,60,"ok",TRUE
"MOD-00556","2026-08-02 23:00:00",4.01745762711864,2.04126269491525,7.43186440677966,3.48898305084746,52.1908474576271,0.0403098922033898,299.542033898305,12.5315254237288,12.828813559322,48.235593220339,59,"ok",TRUE
"MOD-00556","2026-08-03 00:00:00",4.18516666666667,2.2556895,6.57583333333333,3.65766666666667,50.8431666666667,0.039145496,374.5545,14.9878333333333,13.185,46.8683333333333,60,"ok",TRUE
"MOD-00556","2026-08-03 01:00:00",4.265,2.54620828333333,6.95483333333333,3.66683333333333,48.9613333333333,0.037519592,468.892666666667,14.9275,14.5416666666667,44.585,60,"ok",TRUE
"MOD-00556","2026-08-03 02:00:00",4.8175,3.19722158333334,11.4843333333333,4.1455,45.8655,0.034844792,562.908833333333,19.6485,17.1716666666667,40.995,60,"ok",TRUE
"MOD-00556","2026-08-03 03:00:00",4.96833333333333,3.45300035,9.44316666666667,4.284,44.2078333333333,0.033412568,570.799833333334,15.0855,18.8466666666667,39.1616666666667,60,"ok",TRUE
